TRICODE,IATA CODE,CALLSIGN,COMMON NAME,COMPANY/CORPORATE NAME,COUNTRY
BET,-,BETA CARGO,BETA,BETA - BRAZILIAN EXPRESS TRANSPORTES AEREOS LTDA,BRAZIL
BXA,-,BEXAIR,BEXAIR,BAHRAIN EXECUTIVE AIR SERVICES CO. (BEXAIR),BAHRAIN
BNB,-,DAZZLE,BEYOND GENERAL AVIATION,"BEYOND GENERAL AVIATION CO., LTD.",CHINA
BKF,-,BAKERFLIGHT,BF-LENTO,BF-LENTO OY,FINLAND
BGH,-,BALKAN HOLIDAYS,BH AIR,BH AIR,BULGARIA
BHH,-,+,BH HELI,BH HELI LTD,BULGARIA
BHO,-,BHOJA,BHOJA AIRLINES,BHOJA AIRLINES,PAKISTAN
BHZ,-,ALPINE STAR,BHS AVIATION,BHS AVIATION AG,SWITZERLAND
BTN,-,BHUTAN AIR,BHUTAN AIRLINE,BHUTAN AIRLINE,BHUTAN
BGB,-,BIG BEND,BIG BEND COMMUNITY COLLEGE,BIG BEND COMMUNITY COLLEGE,UNITED STATES OF AMERICA
BIG,-,BIG ISLE,BIG ISLAND AIR,"BIG ISLAND AIR, INC. (KAILUA - KONA, HI)",UNITED STATES OF AMERICA
BSY,-,BIG SKY,BIG SKY AIRLINES,"BIG SKY AIRLINES (BILLINGS, MT)",UNITED STATES OF AMERICA
BGX,-,-,BIGAS GRUP,"BIGAS GRUP, S.L.",SPAIN
BHR,-,BIGHORN AIR,BIGHORN AIRWAYS,"BIGHORN AIRWAYS, INC. (SHERIDAN, WY)",UNITED STATES OF AMERICA
...,-,BILLINS,BILLINS AIR SERVICES,BILLINS AIR SERVICES LTD,UNITED KINGDOM
BIL,-,BILAIR,BILLUND AIR CENTER,BILLUND AIR CENTER A/S,DENMARK
BID,-,BINAIR,BINAIR,"BINAIR GMBH, MUENCHEN",GERMANY
BGL,-,BINANI,BINANI AIR,BINANI GLOBAL AIR SERVICES LIMITED,NIGERIA
BGY,-,SKIMMER,BINGO AIRWAYS,BINGO AIRWAYS SP. Z.O.O.,POLAND
BCV,-,MORABEST,BINTER CABO VERDE,"TRANSPORTES INTERILHAS DE CABO VERDE, SOCIEDADE UNIPESSOAL, SA. TICV",CABO VERDE
IBB,NT,BINTER,BINTER CANARIAS,BINTER CANARIAS S.A.,SPAIN
BIO,-,BIOFLIGHT,BIOFLIGHT,BIOFLIGHT A/S,DENMARK
BDH,-,+,BIRD DOG AVIATION,BIRD DOG AVIATION CC.,SOUTH AFRICA
MIS,-,ARTEMIS,BIRD IN A BIPLANE,BIRD IN A BIPLANE LTD,UNITED KINGDOM
BIR,-,BIRD AIR,BIRD LEASING,"BIRD LEASING, INC. (NORTH ANDOVER, MA)",UNITED STATES OF AMERICA
BML,-,BISMILLAH,BISMILLAH AIRLINES,BISMILLAH AIRLINES LTD,BANGLADESH
VLX,-,AVOLAR,BIZ JET CHARTER,"BIZ JET CHARTER, INC. (LAS VEGAS, NV)",UNITED STATES OF AMERICA
BIZ,-,BIZMEX,BIZJET DE MEXICO,BIZJET DE MEXICO S.A. DE C.V.,MEXICO
JSG,-,BOOMAIR,BJ AVIATION,BJ AVIATION KFT,HUNGARY
CKM,-,RIVAFLECHA,BKS AIR,"RIVAFLECHA, S.L. (BKS AIR)",SPAIN
BBB,-,BLACKBIRD,BLACKBIRD AIR,BLACKBIRD AIR A/S,DENMARK
BAK,-,BLACKHAWK,BLACKHAWK AIRWAYS,"BLACKHAWK AIRWAYS, INC. (JANESVILLE, WI)",UNITED STATES OF AMERICA
TJJ,-,BLESSED KID,BLESSINGS AVIATION CHARTER,BLESSINGS AVIATION LTD.,BAHAMAS
BLP,-,-,BLIMP,BLIMP S.L,SPAIN
BKK,-,BLINKAIR,BLINK,BLINK LTD,UNITED KINGDOM
LED,-,SWEEPER,BLOM GEOMATICS,BLOM GEOMATICS AS,NORWAY
BHK,-,BLUHALKIN,BLU HALKIN,BLU HALKIN LTD,UNITED KINGDOM
BLA,0B,BLUE AIR,BLUE AIR,BLUE AIR AVIATION S.A.,ROMANIA
BBJ,-,BLUE KOREA,BLUE AIR LINES,BLUE AIR LINES,REPUBLIC OF KOREA
BBG,-,CANDIA BIRD,BLUE BIRD AIRWAYS,BLUE BIRD AIRWAYS,GREECE
BLB,-,BLUEBIRD SUDAN,BLUE BIRD AVIATION,BLUE BIRD AVIATION CO. LTD,SUDAN
BBY,-,YEMEN BLUE,BLUE BIRD AVIATION,BLUE BIRD AVIATION,YEMEN
BBZ,-,COBRA,BLUE BIRD AVIATION,BLUE BIRD AVIATION LTD,KENYA
HFD,-,HIGHFIELD,BLUE CITY AVIATION,BLUE CITY AVIATION LTD,UNITED KINGDOM
...,-,AIR SAMPLE,BLUE CITY HOLDINGS,"BLUE CITY HOLDINGS, LLC (MOFFETT FIELD, CA)",UNITED STATES OF AMERICA
BDA,-,BLUE DART,BLUE DART AVIATION,BLUE DART AVIATION LTD,INDIA
BLH,-,BLUE HORIZON,BLUE HORIZON TRAVEL CLUB,"BLUE HORIZON TRAVEL CLUB (CINCINNATI, OH)",UNITED STATES OF AMERICA
BCI,SI,BLUE ISLAND,BLUE ISLANDS,BLUE ISLANDS LIMITED,UNITED KINGDOM
BJX,-,BLUE FLIGHT,BLUE JET AIRWAYS,BLUE JET AIRWAYS LIMITED,SOUTH SUDAN
BCJ,-,BLUE BOY,BLUE JET CHARTERS,BLUE JET CHARTERS SP. Z.O.O.,POLAND
BPA,-,BLUE PANORAMA,BLUE PANORAMA AIRLINES,BLUE PANORAMA AIRLINES SPA,ITALY
BLY,-,BLUE AERO,BLUE RIDGE AERO SERVICES,BLUE RIDGE AERO SERVICES,UNITED STATES OF AMERICA
BSF,-,BLUE LIGHT,BLUE SKY AIRWAYS,BLUE SKY AIRWAYS JOINT STOCK COMPANY,VIETNAM
BCA,-,BLUE SKY MONGOLIA,BLUE SKY AVIATION,"BLUE SKY AVIATION CO., LTD",MONGOLIA
SBK,-,MAWINGU,BLUE SKY AVIATION SERVICES,BLUE SKY AVIATION SERVICES LTD,KENYA
BSG,-,-,BLUE SQUARE AVIATION GROUP,BLUE SQUARE AVIATION GROUP MALTA LTD,MALTA
BSD,-,AIRLINES STAR,BLUE STAR AIRLINES,"BLUE STAR AIRLINES, S.A. DE C.V.",MEXICO
BTM,-,BLUE TEAM,BLUE TEAM FLIGHT SCHOOL,BLUE TEAM FLIGHT SCHOOL,SPAIN
BWI,-,BLUE TAIL,BLUE WING AIRLINES,BLUE WING AIRLINES N.V.,SURINAME
BBD,BO,BLUE CARGO,BLUEBIRD CARGO LTD,BLAFUGL EHF.,ICELAND
BKY,-,BLUE AIRWAYS,BLUESKY AIRWAYS,BLUESKY AIRWAYS,BOTSWANA
TFG,-,TRAFALGAR,BLUESTREAM AVIATION,BLUESTREAM AVIATION LTD,UNITED KINGDOM
BWD,-,BLUEWEST,BLUEWEST HELICOPTERS,BLUEWEST HELICOPTERS-GREENLAND APS,DENMARK
BMW,-,BMW-FLIGHT,BMW FLUGDIENST,"BMW FLUGDIENST, MUENCHEN-FLUGHAFEN",GERMANY
BNG,-,VECTIS,BN GROUP,BN GROUP LIMITED,UNITED KINGDOM
BOE,-,BOEING,BOEING,"BOEING COMMERCIAL AIRPLANE GROUP (SEATTLE, WA)",UNITED STATES OF AMERICA
FRE,-,FREEDOM,BOEING TACTICAL,"BOEING TACTICAL (ST.LOUIS, MO)",UNITED STATES OF AMERICA
BIA,-,BOHLKE,BOHLKE INTERNATIONAL AIRWAYS,BOHLKE INTERNATIONAL AIRWAYS,UNITED STATES OF AMERICA
BIN,-,BISON-AIR,BOISE FIRE,"BOISE INTERAGENCY FIRE CENTER (BOISE, ID)",UNITED STATES OF AMERICA
BOR,-,BOLIDORSA,BOLIDOR,BOLIDOR S.A.,URUGUAY
BOV,OB,BOLIVIANA,BOLIVIANA DE AVIACION,EMPRESA PUBLICA NACIONAL ESTRATEGICA BOLIVIANA DE AVIACION,BOLIVIA
BBA,-,BOMBARDIER,BOMBARDIER,BOMBARDIER INC.,CANADA
CDR,-,CANADAIR,BOMBARDIER MONTREAL,BOMBARDIER MONTREAL,CANADA
BCU,-,BACAIR,BOND AIR CARGO,BOND AIR CARGO,UNITED STATES OF AMERICA
BND,-,BOND,BOND AIR SERVICES,BOND OFFSHORE HELICOPTERS LTD,UNITED KINGDOM
BOD,-,UGABOND,BOND AIR SERVICES,BOND AIR SERVICES LTD.,UGANDA
RHD,-,RED HEAD,BOND AIR SERVICES,BOND AIR SERVICES LTD,UNITED KINGDOM
BDX,-,SKY PUSHER,BONDED EXCURSIONS,MAIL BONDED SERVICES INTERNATIONAL LIMITED T/A BONDED EXCURSIONS,BAHAMAS
BOA,-,KUMANOVO,BONIAIR,BONIAIR,NORTH MACEDONIA
BPT,-,BONUS,BONUS AVIATION,BONUS AVIATION,UNITED KINGDOM
IRJ,-,BONYAD AIR,BONYAD AIRLINES,BONYAD AIRLINES,IRAN
BNZ,-,BONZA,BONZA,BONZA AVIATION PTY LTD,AUSTRALIA
BOO,-,BOOKAJET,BOOKAJET,BOOKAJET LTD,UNITED KINGDOM
WYC,-,WYCOMBE,BOOKER AVIATION,AIRWAYS AERO ASSOCIATIONS LTD T/A BOOKER AVIATION,UNITED KINGDOM
BFT,-,BORDER,BORDER AIR TRAINING,BORDER AIR TRAINING,UNITED KINGDOM
BOF,-,BORNFLIGHT,BORNFLY,BORNFLY APS,DENMARK
BDN,-,GAUNTLET,BOSCOMBE DOWN DERA,BOSCOMBE DOWN DERA,UNITED KINGDOM
RRS,-,BLACKBOX,BOSCOMBE DOWN DERA (FORMATION),BOSCOMBE DOWN DERA (FORMATION),UNITED KINGDOM
UAU,-,UNIFORM,BOSCOMBE DOWN UAS,UAS/AEF BOSCOMBE DOWN,UNITED KINGDOM
ZBA,-,BOSKY,BOSKOVIC AIR CHARTERS,"BOSKOVIC, Z, AIR CHARTERS LIMITED",KENYA
CXS,-,CLIPPER CONNECTION,BOSTON-MAINE AIRWAYS,"BOSTON-MAINE AIRWAYS (PORTSMOUTH, NH)",UNITED STATES OF AMERICA
BTR,-,BOTIR-AVIA,BOTIR-AVIA,BOTIR-AVIA,KYRGYZSTAN
BLD,-,BLACKADDER,BOURNEMOUTH FTC,BOURNEMOUTH COMMERCIAL FLIGHT TRAINING CENTRE,UNITED KINGDOM
BTQ,-,BOUTIQUE,BOUTIQUE AIR,BOUTIQUE AIR,UNITED STATES OF AMERICA
BRX,TF,BRAATHENS,BRAATHENS,BRAATHENS REGIONAL AIRWAYS AB,SWEDEN
BIX,TT,SUN TRIP,BRAATHENS INTERNATIONAL,BRAATHENS INTERNATIONAL AIRWAYS AB,SWEDEN
SCW,-,SCANWING,BRAATHENS REGIONAL,BRAATHENS REGIONAL AVIATION AB,SWEDEN
BRN,-,BRANSON,BRANSON AIRLINES,"ECLIPSE AIRLINES, INC. D/B/A BRANSON AIRLINES, INC. (CHANTILLY, VA)",UNITED STATES OF AMERICA
BPC,-,BRASPRESS,BRASPRESS AIR CARGO,BRASPRESS AIR CARGO TRANSPORTES AEREOS,BRAZIL
BRB,-,BRA-TRANSPAEREOS,BRA-TRANSPORTES AEREOS,BRA-TRANSPORTES AEREOS LTDA.,BRAZIL
BRZ,-,GREMAIR,BRAVO AIR,BRAVO AIR LTD,GEORGIA
BAY,-,+,BRAVO AIRWAYS,BRAVO AIRWAYS,UKRAINE
BRS,-,BRAZILIAN AIR FORCE,BRAZILIAN AIR FORCE,BRAZILIAN AIR FORCE,BRAZIL
EXB,-,BRAZILIAN ARMY,BRAZILIAN ARMY AVIATION,BRAZILIAN ARMY AVIATION,BRAZIL
MBR,-,BRAZILIAN NAVY,BRAZILIAN NAVY AVIATION,BRAZILIAN NAVY AVIATION,BRAZIL
BRE,-,AVIABREEZE,BREEZE,BREEZE LTD,UKRAINE
MXY,-,MOXY,BREEZE AIRWAYS,BREEZE AIRWAYS,UNITED STATES OF AMERICA
BRC,-,BRAVI,BREEZE AVIATION,BREEZE AVIATION,BULGARIA
BGR,-,BRIDGER,BRIDGER AEROSPACE,BRIDGER AEROSPACE,UNITED STATES OF AMERICA
BRD,5B,BRIDGES,BRIDGES AVIATION,BRIDGES AIR CARGO LTD,MALTA
BME,-,BRIGGS,BRIGGS MARINE ENVIRONMENTAL SERVICES,BRIGGS MARINE ENVIRONMENTAL SERVICES LTD,UNITED KINGDOM
BFG,-,BRIGHT FLIGHT,BRIGHT FLIGHT,BRIGHT FLIGHT LTD.,BULGARIA
BKO,-,BRIKO,BRIKO AIR SERVICE,BRIKO AIR SERVICE LTD,TRINIDAD AND TOBAGO
TXJ,-,TAIXIANG,BRILLIANT JET,"BRILLIANT JET CO., LTD.",CHINA
BCT,-,-,BRINGER AIR CARGO,BRINGER AIR CARGO TAXI AEREO LTDA.,BRAZIL
BNF,-,BRUNEL,BRISTOL FTC,BRISTOL FLIGHT TRAINING CENTRE LTD,UNITED KINGDOM
BHL,-,BRISTOW,BRISTOW HELICOPTERS,BRISTOW HELICOPTERS GROUP LTD.,UNITED KINGDOM
BHN,-,BRISTOW HELICOPTERS,BRISTOW HELICOPTERS,BRISTOW HELICOPTERS (NIG) LIMITED,UNITED KINGDOM
NOR,-,NORSKE,BRISTOW NORWAY,BRISTOW NORWAY AS,NORWAY
BTZ,-,BRISTOW GROUP,BRISTOW US,"BRISTOW US, LLC (NEW IBERIA, LA)",UNITED STATES OF AMERICA
...,-,TEEFLY,BRITANNIA AIRWAYS,BRITANNIA AIRWAYS LTD,UNITED KINGDOM
BAT,-,GHERKIN,BRITISH AIRWAYS,BRITISH AIRWAYS (BA) LTD,UNITED KINGDOM
BAW,BA,SPEEDBIRD,BRITISH AIRWAYS,BRITISH AIRWAYS P.L.C.,UNITED KINGDOM
EFW,-,GRIFFIN,BRITISH AIRWAYS,BA EUROFLYER,UNITED KINGDOM
XMS,-,SANTA,BRITISH AIRWAYS SANTA,BRITISH AIRWAYS SANTA,UNITED KINGDOM
SHT,-,SHUTTLE,BRITISH AIRWAYS SHUTTLE,BRITISH AIRWAYS SHUTTLE,UNITED KINGDOM
BAN,-,PENGUIN,BRITISH ANTARCTIC SURVEY,BRITISH ANTARCTIC SURVEY,UNITED KINGDOM
BCR,-,BACKER,BRITISH CHARTER,BRITISH CHARTER,UNITED KINGDOM
BGI,-,BRITISH GULF,BRITISH GULF INTERNATIONAL,BRITISH GULF INTERNATIONAL CO. LTD,SAO TOME AND PRINCIPE
BIH,-,BRINTEL,BRITISH INTERNATIONAL,BRITISH INTERNATIONAL,UNITED KINGDOM
BRT,-,BRITISH,BRITISH INTERNATIONAL HELICOPTER SERVICES,BRITISH INTERNATIONAL HELICOPTER SERVICES LIMITED,UNITED KINGDOM
BMD,-,BRITISH MEDICAL,BRITISH MEDICAL CHARTER,BRITISH MEDICAL CHARTER,UNITED KINGDOM
BMR,-,MIDLAND,BRITISH MIDLAND REGIONAL,BRITISH MIDLAND REGIONAL LTD,UNITED KINGDOM
...,-,BELVOIR,BRITISH PARACHUTE SCHOOLS,BRITISH PARACHUTE SCHOOLS,UNITED KINGDOM
SKH,-,SKYNEWS,BRITISH SKY BROADCASTING,BRITISH SKY BROADCASTING LTD,UNITED KINGDOM
BXJ,-,BRIXTEL JET,BRIXTEL GROUP,"BRIXTEL GROUP, INC. (RESTON, VA)",UNITED STATES OF AMERICA
HOT,-,HOT AIR,BROADLAND BALLOON FLIGHTS,BROADLAND BALLOON FLIGHTS,UNITED KINGDOM
CFL,-,CALIBRATION,BROMMA AIR MAINTENANCE,BROMMA AIR MAINTENANCE AB,SWEDEN
BEL,SN,BEELINE,BRUSSELS AIRLINES,BRUSSELS AIRLINES,BELGIUM
BPS,-,BASE,BUDAPEST AIRCRAFT SERVICE,BUDAPEST AIRCRAFT SERVICE LTD,HUNGARY
BHA,-,BUDDHA AIR,BUDDHA AIR,BUDDHA AIR PVT. LTD,NEPAL
BUF,-,SPEEDHAWK,BUFF AIR SERVICES,BUFF AIR SERVICES,KENYA
BFL,-,BUFFALO,BUFFALO AIRWAYS,BUFFALO AIRWAYS LTD.,CANADA
BVA,-,BUFFALO AIR,BUFFALO AIRWAYS,"BUFFALO AIRWAYS (WACO, TX)",UNITED STATES OF AMERICA
OFT,-,OUTFITTER,BUFFALO RIVER AIRCRAFT SERVICES,"BUFFALO RIVER AIRCRAFT SERVICES, LLC",UNITED STATES OF AMERICA
BVL,LB,BULGARY,BUL AIR,BUL AIR LTD.,BULGARIA
LZB,FB,FLYING BULGARIA,BULGARIA AIR,BULGARIA AIR,BULGARIA
AFB,-,BULAF,BULGARIAN AIR FORCE,BULGARIAN AIR FORCE,BULGARIA
BEG,-,BULGARIAN EAGLE,BULGARIAN EAGLE,BULGARIAN EAGLE,BULGARIA
BNA,-,BUN AIR,BUN AIR CORPORATION,"BUN AIR CORPORATION (BEDFORD, PA)",UNITED STATES OF AMERICA
BPO,-,PIROL,"BUNDEPOLIZEI-FLIEGERGRUPPE, ST. AUGUSTIN","BUNDEPOLIZEI-FLIEGERGRUPPE, ST. AUGUSTIN",UNITED STATES OF AMERICA
BMP,-,AIR BAMA,BUNDLED AERIAL MAPPING ASSTS,"BUNDLED AERIAL MAPPING ASSTS, LLC (HUNTSVILLE, AL)",UNITED STATES OF AMERICA
XDA,-,-,BUREAU VERITAS,BUREAU VERITAS S.A.,FRANCE
BFR,-,BURKLINES,BURKINA AIRLINES,BURKINA AIRLINES,BURKINA FASO
BRY,-,BURAIR,BURUNDAYAVIA,BURUNDAYAVIA JSC,KAZAKHSTAN
KBS,-,-,BUSINESS AERO,BUSINESS AERO LLC,RUSSIAN FEDERATION
RLR,-,RATTLER,BUSINESS AIRFREIGHT,"BUSINESS AIRFREIGHT (BENNINGTON, VT)",UNITED STATES OF AMERICA
UNA,-,UNITED ASIA,BUSINESS AVIATION ASIA,BUSINESS AVIATION ASIA LIMITED,UNITED STATES OF AMERICA
DKT,-,DAKOTA,BUSINESS AVIATION COURIER,"BUSINESS AVIATION COURIER, INC. (SIOUX FALLS, SD)",UNITED STATES OF AMERICA
OTA,-,OUTLAW,BUSINESS AVIATIORS INC.,"BUSINESS AVIATIORS INC. (CASPER, WY)",UNITED STATES OF AMERICA
BJS,-,SOLUTION,BUSINESS JET SOLUTIONS,"BUSINESS JET SOLUTIONS (DALLAS, TX)",UNITED STATES OF AMERICA
JMP,-,JUMP RUN,BUSINESS WINGS,"BUSINESS WINGS LUFTFAHRTUNTERNEHMEN GMBH, AHNATAL",GERMANY
BZZ,-,BUZZARD,BUTANE BUZZARD AVIATION CORPORATION,BUTANE BUZZARD AVIATION CORPORATION,UNITED KINGDOM
BUT,-,BUTLERS,BUTLERS AVIATION,BUTLERS AVIATION,BAHAMAS
PPS,-,PIPESTONE,BUTTE AVIATION,"BUTTE AVIATION, INC. (BUTTE, MT)",UNITED STATES OF AMERICA
FXP,-,SUNDIAL,BUZZ AERO,BUZZ AERO S.R.L.,ROMANIA
BVI,-,DRAKE,BV AIRWAYS INC.,BV AIRWAYS INC.,UNITED KINGDOM
BVG,-,BEEVEEGEE VIAJES,BVG VIAJES,"BVG VIAJES, S.A. DE C.V.",MEXICO
BYG,-,BYGONE,BYGONE AVIATION,"BYGONE AVIATION, LLC (GUYMON, OK)",UNITED STATES OF AMERICA
BYS,-,BEL SKY,BYSKY,JOINT STOCK COMPANY AVIACOMPANY BYSKY,BELARUS
RWG,-,RED WING,C & M AIRWAYS,"C & M AIRWAYS, INC. (EL PASO, TX)",UNITED STATES OF AMERICA
TIP,-,TRANSPAC,C AND M AVIATION,"C AND M AVIATION (BUTTE, MT)",UNITED STATES OF AMERICA
CIJ,-,NIKOLAUS,C&I CORPORATION,C&I CORPORATION,ROMANIA
RMU,-,AIR-MAUR,"C.S.P., SOCIETE","C.S.P., SOCIETE",MAURITANIA
BBN,-,BRABAZON,CAA AIRWORTHINESS DIVISION,CAA AIRWORTHINESS DIVISION,UNITED KINGDOM
EXM,-,EXAM,CAA FLIGHT EXAMINERS,CAA FLIGHT EXAMINERS,UNITED KINGDOM
CFU,-,MINAIR,CAA FLYING UNIT,CAA FLYING UNIT,UNITED KINGDOM
AWX,-,ALLWEATHER,CAA IFP,CAA DIRECTORATE OF AIRSPACE POLICY (IFP),UNITED KINGDOM
SDS,-,STANDARDS,CAA TRAINING STANDARDS,CAA TRAINING STANDARDS,UNITED KINGDOM
CVE,-,KABEX,CABO VERDE EXPRESS,CABO VERDE EXPRESS,CABO VERDE
CSR,-,CAESAR,CAE,CAE GMBH,GERMANY
LXC,-,LUXVAN,CAE AVIATION,CAE AVIATION,LUXEMBOURG
CXE,-,CAICOS,CAICOS EXPRESS AIRWAYS,CAICOS EXPRESS AIRWAYS,UNITED KINGDOM
CCE,-,-,CAIRO AVIATION,CAIRO AIR TRANSPORT COMPANY (CAIRO AVIATION),EGYPT
CGC,-,CAL-GULF,CAL GULF AVIATION,CAL GULF AVIATION,SAO TOME AND PRINCIPE
CJZ,-,CALIBER JET,CALIBER JET CHARTER,"CALIBER JET CHARTER, LLC (WESTLAKE, OH)",UNITED STATES OF AMERICA
CSL,-,CALIFORNIA SHUTTLE,CALIFORNIA AIR SHUTTLE,"MINSON AVIATION, INC. D/B/A CALIFORNIA AIR SHUTTLE (OXNARD, CA)",UNITED STATES OF AMERICA
CFR,-,CALFIRE,CALIFORNIA DEPARTMENT OF FORESTRY AND FIRE PROTECTION,CALIFORNIA DEPARTMENT OF FORESTRY AND FIRE PROTECTION,UNITED STATES OF AMERICA
CMV,-,CALIMA,CALIMA DE AVIACION,CALIMA DE AVIACION S.L.,SPAIN
CAV,-,CALM AIR,CALM AIR,CALM AIR,CANADA
CMD,-,CALSTAR MED,CALSTAR,CALSTAR,UNITED STATES OF AMERICA
CMR,-,CAMEO,CAM AIR MANAGEMENT,CAM AIR MANAGEMENT LTD,UNITED KINGDOM
CAM,-,AIR CAMAI,CAMAI-AIR,"VILLAGE AVIATION, INC. D/B/A CAMAI-AIR (BETHEL, AK)",UNITED STATES OF AMERICA
CRC,QC,CAMAIRCO,CAMAIR-CO,CAMEROON AIRLINES CORPORATION (CAMAIR-CO),CAMEROON
CCL,-,ANGKOR WAT,CAMBODIA AIRLINES,CAMBODIA AIRLINES,CAMBODIA
KME,-,GIANT IBIS,CAMBODIA AIRWAYS,"CAMBODIA AIRWAYS CO., LTD.",CAMBODIA
KHV,K6,CAMBODIA AIR,CAMBODIA ANGKOR AIR,"AIR CAMBODIA CO., LTD",CAMBODIA
KHV,K6,CAMBODIA AIR,CAMBODIA ANGKOR AIR,CAMBODIA ANGKOR AIR,CAMBODIA
BYC,-,BAYON AIR,CAMBODIA BAYON AIRLINES,CAMBODIA BAYON AIRLINES,CAMBODIA
JCC,-,CAMBO,CAMBODIA INTERNATIONAL AIRLINES,JC (CAMBODIA) INTERNATIONAL AIRLINES,CAMBODIA
CMM,-,CAMEX ADRIA,CAMEX ADRIA AIRLINES,CAMEX ADRIA AIRLINES D.O.O,SLOVENIA
CMS,-,CAMEX,CAMEX AIRLINES,CAMEX AIRLINES LLC,GEORGIA
CWA,-,CAN WEST,CAN WEST AIR,CAN WEST CORPORATE AIR CHARTERS LTD.,CANADA
CJL,-,JETBUS,CANADA JETLINES,CANADA JETLINES OPERATIONS LTD.,CANADA
TWC,-,CANAIR,CANADIAN AIRWAYS CONGO,CANADIAN AIRWAYS CONGO,CONGO
CFC,-,CANFORCE,CANADIAN ARMED FORCES,CANADIAN ARMED FORCES,CANADA
CTG,-,CANADIAN  COASTGUARD,CANADIAN COAST GUARD,CANADIAN COAST GUARD,CANADA
CDN,-,CANADIAN,CANADIAN HELICOPTERS,CANADIAN HELICOPTERS LIMITED DBA HNZ GLOBAL,CANADA
MPE,-,EMPRESS,CANADIAN NORTH,CANADIAN NORTH INC.,CANADA
CRR,-,RAILCAR,CANADIAN PACIFIC RAILWAY,CANADIAN PACIFIC RAILWAY,CANADA
CWH,-,WARPLANE HERITAGE,CANADIAN WARPLANE HERITAGE MUSEUM,CANADIAN WARPLANE HERITAGE MUSEUM,CANADA
CAU,-,CANARIAS LINK,CANARIAS AERONAUTICA,"CANARIAS AERONAUTICA, S.L.",SPAIN
CNF,PM,CANARY,CANARYFLY,CANARY FLY S.L.,SPAIN
CNA,-,CANAVIA,CANAVIA LINEAS AEREAS,CANAVIA LINEAS AEREAS S.L.,SPAIN
MFC,-,EAST WIND,CANLINK AVIATION,CANLINK AVIATION INC.,CANADA
KAP,-,CAIR,CAPE AIR,"HYANNIS AIR SERVICE, INC. D/B/A CAPE AIR (HYANNIS, MA)",UNITED STATES OF AMERICA
SEM,-,SEMO,CAPE CENTRAL AIRWAYS,"CAPE CENTRAL AIRWAYS, INC. (CAPE GIRARDEAU, MO)",UNITED STATES OF AMERICA
CPX,-,CAPAIR,CAPITAL AIR SERVICE,"CAPITAL AIR SERVICE, INC. (MANHATTAN, KS)",UNITED STATES OF AMERICA
EGL,-,PRESTIGE,CAPITAL AIR SERVICE,CAPITAL AIR SERVICE LTD,UNITED KINGDOM
WDK,-,WOODSTOCK,CAPITAL AIR SERVICES,CAPITAL AIR SERVICES,UNITED KINGDOM
CGP,-,CAPGROUP,CAPITAL AIRCRAFT GROUP,CAPITAL AIRCRAFT GROUP,BELGIUM
CPD,-,CAPITAL DELTA,CAPITAL AIRLINES,CAPITAL AIRLINES LIMITED,KENYA
NCP,-,CAPITAL SHUTTLE,CAPITAL AIRLINES,CAPITAL AIRLINES LIMITED,NIGERIA
CCQ,-,CAP CITY,CAPITAL CITY AIR CARRIERS,"CAPITAL CITY AIR CARRIERS, INC. (PIERRE, SD)",UNITED STATES OF AMERICA
BSH,-,CAPITAL ROTOR,CAPITAL HELICOPTER,"BEIJING CAPITAL AIRLINES HELICOPTER GENERAL AVIATION SERVICES CO., LTD",CHINA
CCJ,-,CAP JET,CAPITAL JET CHARTER,CAPITAL JET CHARTER CORP.,UNITED STATES OF AMERICA
CWZ,-,CAPWINGS,CAPITOL WINGS AIRLINE,"CAPITOL WINGS AIRLINE, INC. (AUSTIN, TX)",UNITED STATES OF AMERICA
VAN,-,CAMEL,CARAVAN AIR,CARAVAN AIR,MAURITANIA
CAD,-,CARDIG AIR,CARDIG AIR,"CARDIG AIR, PT.",INDONESIA
CFH,-,CARE FLIGHT,CARE FLIGHT,CARE FLIGHT (NSW) LIMITED,AUSTRALIA
GGC,-,LONG-HAUL,CARGO 360,"CARGO 360, INC. (SEATTLE, WA)",UNITED STATES OF AMERICA
CGF,-,CLEVER,CARGO AIR,CARGO AIR LTD,BULGARIA
CBB,-,CARGO-BEE,CARGO B AIRLINES,CARGO B AIRLINES N.V./S.A.,BELGIUM
MCX,-,MAURICARGO,CARGO EXPRESS,CARGO EXPRESS,MAURITANIA
CLM,-,CARGO LINK,CARGO LINK,CARGO LINK (CARIBBEAN) INC.,BARBADOS
CTW,-,THIRD CARGO,CARGO THREE INC.,CARGO THREE INC.,PANAMA
CJT,W8,CARGOJET,CARGOJET AIRWAYS,CARGOJET AIRWAYS INC.,CANADA
GOL,-,CARGOLAAR,CARGOLAAR,CARGOLAAR CC,NAMIBIA
GCL,-,SAXONIAN,CARGOLOGIC GERMANY,CARGOLOGIC GERMANY GMBH,GERMANY
CLU,P3,FIREBIRD,CARGOLOGICAIR,CARGOLOGICAIR LTD,UNITED KINGDOM
CLX,CV,CARGOLUX,CARGOLUX,"CARGOLUX AIRLINES INTERNATIONAL, S.A.",LUXEMBOURG
ICV,-,CARGOLUX ITALIA,CARGOLUX ITALIA,CARGOLUX ITALIA S.P.A.,ITALY
BCB,-,WAVEBIRD,CARIB EXPRESS,CARIB EXPRESS,BARBADOS
